"ID","INCIDENT_NUMBER","DATE_REPORTED","DATE_OCCURED","CRIME_TYPE","NIBRS_CODE","UCR_HIERARCHY","ATT_COMP","LMPD_DIVISION","LMPD_BEAT","PREMISE_TYPE","BLOCK_ADDRESS","UOR_DESC","LEOKA_APPLIES","OFFICER_KILLED","TYPE_OF_ASSIGNMENT","TYPE_OF_ACTIVITY","OFFENSE_CITY","OFFENSE_ZIP"
"1","80-16-056722","2016-06-29 01:28:00","2016-06-29 01:28:00","ASSAULT","13A","PART I","COMPLETED","5TH DIVISION","525","HIGHWAY / ROAD / ALLEY","I64W AT CANNONS LN                                          ","WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","ALL OTHER","LOUISVILLE","40207"
"2","80-16-057346","2016-07-06 19:20:00","2016-07-06 18:33:00","ASSAULT","13C","PART II","COMPLETED","1ST DIVISION","134","PARK / PLAYGROUND","200 BLOCK E WITHERSPOON ST                                  ","MENACING","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","ALL OTHER","LOUISVILLE","40202"
"3","80-16-051965","2016-06-19 10:54:00","2016-06-19 09:30:00","ASSAULT","13C","PART II","COMPLETED","6TH DIVISION","625","HOTEL / MOTEL / ETC.","3300 BLOCK BARDSTOWN RD                                     ","WANTON ENDANGERMENT-2ND DEGREE","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40218"
"4","80-16-049755","2016-06-11 23:06:00","2016-06-11 23:06:00","ASSAULT","13A","PART I","COMPLETED","1ST DIVISION","112","RESIDENCE / HOME","2300 BLOCK MAGAZINE ST                                      ","MURDER - POLICE OFFICER ATTEMPTED","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","INVESTIGATING SUSPICIOUS PERSONS OR CIRCUMSTANCE","LOUISVILLE","40211"
"5","80-16-053591","2016-06-24 14:17:00","2016-06-24 14:17:00","ASSAULT","13B","PART II","COMPLETED","4TH DIVISION","411","HIGHWAY / ROAD / ALLEY","200 BLOCK YORK ST                                           ","ASSAULT - 3RD DEGREE (OFFICER TRANSPORTING INMATES)","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40203"
"6","80-16-056197","2016-07-03 02:36:00","2016-07-03 02:36:00","ASSAULT","13C","PART II","COMPLETED","5TH DIVISION","512","BAR / NIGHT CLUB","900 BLOCK BAXTER AVE                                        ","MENACING","YES","NO","OTHER ALONE (FOOT, OFF DUTY, ECT)","ALL OTHER","LOUISVILLE","40204"
"7","80-16-058205","2016-07-09 20:34:00","2016-07-09 20:34:00","ASSAULT","13C","PART II","COMPLETED","4TH DIVISION","424","AMUSEMENT PARK","900 BLOCK PHILLIPS LN                                       ","MENACING","YES","NO","OTHER ASSISTED (FOOT, OFF DUTY, ETC)","ATTEMPTING OTHER ARREST","LOUISVILLE","40209"
"8","80-16-058205","2016-07-09 20:34:00","2016-07-09 20:34:00","ASSAULT","13B","PART II","COMPLETED","4TH DIVISION","424","AMUSEMENT PARK","900 BLOCK PHILLIPS LN                                       ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","OTHER ASSISTED (FOOT, OFF DUTY, ETC)","ATTEMPTING OTHER ARREST","LOUISVILLE","40209"
"9","80-16-058205","2016-07-09 20:34:00","2016-07-09 20:34:00","ASSAULT","13C","PART II","COMPLETED","4TH DIVISION","424","AMUSEMENT PARK","900 BLOCK PHILLIPS LN                                       ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","OTHER ASSISTED (FOOT, OFF DUTY, ETC)","ATTEMPTING OTHER ARREST","LOUISVILLE","40209"
"10","80-16-083396","2016-09-28 18:50:00","2016-09-28 18:50:00","ASSAULT","13B","PART II","COMPLETED","1ST DIVISION","111","HIGHWAY / ROAD / ALLEY","N 27TH ST / BANK ST                                         ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","ATTEMPTING OTHER ARREST","LOUISVILLE","40212"
"11","80-16-061673","2016-07-20 22:07:00","2016-07-20 22:07:00","ASSAULT","13B","PART II","COMPLETED","5TH DIVISION","513","HIGHWAY / ROAD / ALLEY","BARDSTOWN RD / WOODBOURNE AVE                               ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","MENTALLY DERANGED","LOUISVILLE","40205"
"12","80-16-064835","2016-07-31 02:11:00","2016-07-31 02:11:00","ASSAULT","13A","PART I","COMPLETED","1ST DIVISION","112","HIGHWAY / ROAD / ALLEY","2500 BLOCK W BROADWAY                                       ","WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER","YES","NO","OTHER ALONE (FOOT, OFF DUTY, ECT)","ALL OTHER","LOUISVILLE","40211"
"13","80-16-067382","2016-08-09 16:30:00","2016-08-08 01:35:00","ASSAULT","13A","PART I","COMPLETED","2ND DIVISION","236","PARKING LOT / GARAGE","4500 BLOCK BROADLEAF DR                                     ","WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","DOMESTIC DISTURBANCE","LOUISVILLE","40216"
"14","80-16-067382","2016-08-09 16:30:00","2016-08-08 01:35:00","ASSAULT","13A","PART I","COMPLETED","2ND DIVISION","236","PARKING LOT / GARAGE","4500 BLOCK BROADLEAF DR                                     ","WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","DOMESTIC DISTURBANCE","LOUISVILLE","40216"
"15","80-16-067382","2016-08-09 16:30:00","2016-08-08 01:35:00","ASSAULT","13A","PART I","COMPLETED","2ND DIVISION","236","PARKING LOT / GARAGE","4500 BLOCK BROADLEAF DR                                     ","WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","DOMESTIC DISTURBANCE","LOUISVILLE","40216"
"16","80-16-068707","2016-08-11 16:43:00","2016-08-11 16:43:00","ASSAULT","13B","PART II","COMPLETED","4TH DIVISION","424","FAIRGROUNDS / STADIUM / ARENA","700 BLOCK CENTRAL AVE                                       ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","DETECTIVE OR SPECIAL ASSIGNMENT ASSISTED","ATTEMPTING OTHER ARREST","LOUISVILLE","40208"
"17","80-16-069714","2016-08-15 17:11:00","2016-08-15 17:11:00","ASSAULT","13B","PART II","COMPLETED","2ND DIVISION","225","HIGHWAY / ROAD / ALLEY","S 9TH ST / W HILL ST                                        ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","ATTEMPTING OTHER ARREST","LOUISVILLE","40208"
"18","80-16-073413","2016-08-27 11:09:00","2016-08-27 11:09:00","ASSAULT","13A","PART I","COMPLETED","1ST DIVISION","123","HIGHWAY / ROAD / ALLEY","600 BLOCK VILLAGE WEST DR                                   ","WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","INVESTIGATING SUSPICIOUS PERSONS OR CIRCUMSTANCE","LOUISVILLE","40203"
"19","80-16-085177","2016-10-04 23:42:00","2016-10-04 22:43:00","ASSAULT","13C","PART II","COMPLETED","4TH DIVISION","412","PARKING LOT / GARAGE","EASTERN PKY / S SHELBY ST                                   ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40217"
"20","80-16-085177","2016-10-04 23:42:00","2016-10-04 22:43:00","ASSAULT","13C","PART II","COMPLETED","4TH DIVISION","412","PARKING LOT / GARAGE","EASTERN PKY / S SHELBY ST                                   ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40217"
"21","80-16-084979","2016-10-04 05:27:00","2016-10-04 05:27:00","ASSAULT","13B","PART II","COMPLETED","1ST DIVISION","123","PARKING LOT / GARAGE","700 BLOCK MAGAZINE ST                                       ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","OTHER ASSISTED (FOOT, OFF DUTY, ETC)","ALL OTHER","LOUISVILLE","40203"
"22","80-16-086099","2016-10-07 18:34:00","2016-10-07 18:34:00","ASSAULT","13A","PART I","COMPLETED","4TH DIVISION","423","HIGHWAY / ROAD / ALLEY","S 5TH ST / BEECHER ST                                       ","DISARMING A PEACE OFFICER","YES","NO","DETECTIVE OR SPECIAL ASSIGNMENT ASSISTED","ATTEMPTING OTHER ARREST","LOUISVILLE","40214"
"23","80-16-088794","2016-10-16 22:08:00","2016-10-16 22:08:00","ASSAULT","13A","PART I","COMPLETED","2ND DIVISION","225","HIGHWAY / ROAD / ALLEY","S 16TH ST / ALGONQUIN PKY                                   ","WANTON ENDANGERMENT-1ST DEGREE","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","ALL OTHER","LOUISVILLE","40210"
"24","80-16-089698","2016-10-19 14:20:00","2016-10-19 14:00:00","ASSAULT","13A","PART I","COMPLETED","2ND DIVISION","234","HIGHWAY / ROAD / ALLEY","S 28TH ST / W HILL ST                                       ","WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER","YES","NO","DETECTIVE OR SPECIAL ASSIGNMENT ALONE","ATTEMPTING OTHER ARREST","LOUISVILLE","40211"
"25","80-16-089698","2016-10-19 14:20:00","2016-10-19 14:00:00","ASSAULT","13A","PART I","COMPLETED","2ND DIVISION","234","HIGHWAY / ROAD / ALLEY","S 28TH ST / W HILL ST                                       ","WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER","YES","NO","DETECTIVE OR SPECIAL ASSIGNMENT ALONE","ALL OTHER","LOUISVILLE","40211"
"26","80-16-089698","2016-10-19 14:20:00","2016-10-19 14:00:00","ASSAULT","13A","PART I","COMPLETED","2ND DIVISION","234","HIGHWAY / ROAD / ALLEY","S 28TH ST / W HILL ST                                       ","WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER","YES","NO","DETECTIVE OR SPECIAL ASSIGNMENT ALONE","ALL OTHER","LOUISVILLE","40211"
"27","80-16-089187","2016-10-18 01:55:00","2016-10-18 01:55:00","ASSAULT","13A","PART I","COMPLETED","8TH DIVISION","812","HIGHWAY / ROAD / ALLEY","BAYBERRY PL / HERMITAGE WAY                                 ","WANTON ENDANGERMENT-1ST DEGREE","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","PLANTATION","40242"
"28","80-16-096441","2016-11-10 10:28:00","2016-11-10 10:28:00","ASSAULT","13B","PART II","COMPLETED","5TH DIVISION","512","OTHER / UNKNOWN","1300 BLOCK ST ANTHONY PL                                    ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40204"
"29","80-16-097104","2016-11-12 19:47:00","2016-11-12 19:30:00","ASSAULT","13B","PART II","COMPLETED","3RD DIVISION","315","BAR / NIGHT CLUB","7100 BLOCK GLOBAL DR                                        ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40258"
"30","80-16-096673","2016-11-06 17:00:00","2016-11-06 16:59:00","ASSAULT","13C","PART II","COMPLETED","5TH DIVISION","512","HIGHWAY / ROAD / ALLEY","COOPER ST / PAYNE ST                                        ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","ALL OTHER","LOUISVILLE","40204"
"31","80-16-098358","2016-11-17 00:32:00","2016-11-17 00:15:00","ASSAULT","13A","PART I","COMPLETED","4TH DIVISION","423","HIGHWAY / ROAD / ALLEY","3700 BLOCK WOODRUFF AVE                                     ","WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","ALL OTHER","LOUISVILLE","40215"
"32","80-16-099443","2016-11-21 02:12:00","2016-11-21 02:12:00","ASSAULT","13A","PART I","COMPLETED","1ST DIVISION","111","HIGHWAY / ROAD / ALLEY","N 16TH ST / NORTHWESTERN PKY                                ","WANTON ENDANGERMENT-1ST DEGREE","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","ATTEMPTING OTHER ARREST","LOUISVILLE","40203"
"33","80-16-104624","2016-12-08 08:30:00","2016-12-08 08:00:00","ASSAULT","13C","PART II","COMPLETED","3RD DIVISION","315","SCHOOL - ELEMENTARY / SECONDARY","10200 BLOCK DIXIE HWY                                       ","TERRORISTIC THREATENING 2ND DEGREE","YES","NO","OTHER ALONE (FOOT, OFF DUTY, ECT)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40272"
"34","80-16-107687","2016-12-18 10:32:00","2016-12-18 10:32:00","ASSAULT","13B","PART II","COMPLETED","1ST DIVISION","123","HIGHWAY / ROAD / ALLEY","400 BLOCK SIMMONS CT                                        ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40203"
"35","80-16-108688","2016-12-21 17:09:00","2016-12-21 17:09:00","ASSAULT","13C","PART II","COMPLETED","1ST DIVISION","123","RESTAURANT","S 12TH ST / W BROADWAY                                      ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","TRAFFIC PURSUIT OR STOPS","LOUISVILLE","40203"
"36","80-16-108688","2016-12-21 17:09:00","2016-12-21 17:09:00","ASSAULT","13C","PART II","COMPLETED","1ST DIVISION","123","RESTAURANT","S 12TH ST / W BROADWAY                                      ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","TRAFFIC PURSUIT OR STOPS","LOUISVILLE","40203"
"37","80-16-108688","2016-12-21 17:09:00","2016-12-21 17:09:00","ASSAULT","13C","PART II","COMPLETED","1ST DIVISION","123","RESTAURANT","S 12TH ST / W BROADWAY                                      ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","TRAFFIC PURSUIT OR STOPS","LOUISVILLE","40203"
"38","80-16-108688","2016-12-21 17:09:00","2016-12-21 17:09:00","ASSAULT","13C","PART II","COMPLETED","1ST DIVISION","123","RESTAURANT","S 12TH ST / W BROADWAY                                      ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","TRAFFIC PURSUIT OR STOPS","LOUISVILLE","40203"
"39","80-16-109336","2016-12-23 18:21:00","2016-12-23 18:21:00","ASSAULT","13C","PART II","COMPLETED","5TH DIVISION","512","HIGHWAY / ROAD / ALLEY","BARDSTOWN RD / EDGELAND AVE                                 ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","HANDLING, TRANSPORTING, CUSTODY OF PRISONERS","LOUISVILLE","40204"
